"katt","Lambda","perm","depositedClay","hMean","n","suspendedClay","hPrime2Mean","h","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0075699,236.48,7.1538e-11,33.648,0.00021025,0.32597,0.11251,4.6322e-23,0.00021025,1.1482e-06,-1.0344e-05,-5.4998e-30,0.0030374,0.00049461,0
0.0076341,236.48,7.1168e-11,34.148,0.00020909,0.3255,0.11251,-3.9705e-23,0.00020909,4.1736e-07,-1.0499e-05,3.5934e-25,0,0,0
0.0076341,236.48,7.1168e-11,34.148,0.00020909,0.3255,0.11251,-3.9705e-23,0.00020909,4.1736e-07,-1.0499e-05,3.5934e-25,0,0,0.29
0.0075699,236.48,7.1538e-11,33.648,0.00021025,0.32597,0.11251,4.6322e-23,0.00021025,1.1482e-06,-1.0344e-05,-5.4998e-30,0.0030374,0.00049461,0.29
0.0076761,236.48,7.13e-11,33.973,0.00021097,0.32567,0.11251,-2.3161e-23,0.00021097,2.6202e-06,-1.0216e-05,2.1049e-23,0.0060635,0.0010549,0
0.0076761,236.48,7.13e-11,33.973,0.00021097,0.32567,0.11251,-2.3161e-23,0.00021097,2.6202e-06,-1.0216e-05,2.1049e-23,0.0060635,0.0010549,0.29
0.0079435,236.48,7.0386e-11,35.215,0.00020699,0.32448,0.11251,-7.6101e-23,0.00020699,4.1272e-06,-1.0058e-05,1.6561e-23,0.0090797,0.0016656,0
0.0079435,236.48,7.0386e-11,35.215,0.00020699,0.32448,0.11251,-7.6101e-23,0.00020699,4.1272e-06,-1.0058e-05,1.6561e-23,0.0090797,0.0016656,0.29
0.008085,236.48,6.9966e-11,35.79,0.00019653,0.32394,0.11251,-6.6174e-24,0.00019653,5.6433e-06,-9.4923e-06,8.6274e-24,0.012089,0.0023119,0
0.008085,236.48,6.9966e-11,35.79,0.00019653,0.32394,0.11251,-6.6174e-24,0.00019653,5.6433e-06,-9.4923e-06,8.6274e-24,0.012089,0.0023119,0.29
0.0081207,236.48,7.0001e-11,35.742,0.00017906,0.32398,0.11251,4.1359e-23,0.00017906,7.0982e-06,-8.5171e-06,3.0969e-23,0.015093,0.0029796,0
0.0081207,236.48,7.0001e-11,35.742,0.00017906,0.32398,0.11251,4.1359e-23,0.00017906,7.0982e-06,-8.5171e-06,3.0969e-23,0.015093,0.0029796,0.29
0.0080604,236.48,7.0594e-11,34.931,0.00015433,0.32475,0.11251,4.3014e-23,0.00015433,8.4271e-06,-7.1026e-06,8.3282e-23,0.018095,0.0036545,0
0.0080604,236.48,7.0594e-11,34.931,0.00015433,0.32475,0.11251,4.3014e-23,0.00015433,8.4271e-06,-7.1026e-06,8.3282e-23,0.018095,0.0036545,0.29
0.0079629,236.48,7.2084e-11,32.916,0.00012259,0.32667,0.11251,-1.2408e-23,0.00012259,9.5997e-06,-5.2388e-06,7.1655e-23,0.021099,0.0043229,0
0.0079629,236.48,7.2084e-11,32.916,0.00012259,0.32667,0.11251,-1.2408e-23,0.00012259,9.5997e-06,-5.2388e-06,7.1655e-23,0.021099,0.0043229,0.29
0.0078955,236.48,7.4528e-11,29.668,8.4741e-05,0.32976,0.11251,1.1581e-23,8.4741e-05,1.0529e-05,-2.9404e-06,-1.1482e-23,0.024108,0.0049706,0
